0.000000	0.000000
0.012500	0.049553
0.032653	0.059561
0.052806	0.068752
0.072959	0.077147
0.093112	0.084771
0.113265	0.091647
0.133418	0.097799
0.153571	0.103248
0.173724	0.108019
0.193878	0.112136
0.214031	0.115620
0.234184	0.118496
0.254337	0.120787
0.274490	0.122516
0.294643	0.123707
0.314796	0.124382
0.334949	0.124565
0.355102	0.124279
0.375255	0.123548
0.395408	0.122395
0.415561	0.120843
0.435714	0.118915
0.455867	0.116635
0.476020	0.114026
0.496173	0.111111
0.516327	0.107913
0.536480	0.104457
0.556633	0.100764
0.576786	0.096859
0.596939	0.092765
0.617092	0.088504
0.637245	0.084101
0.657398	0.079578
0.677551	0.074959
0.697704	0.070267
0.717857	0.065526
0.738010	0.060758
0.758163	0.055987
0.778316	0.051236
0.798469	0.046529
0.818622	0.041889
0.838776	0.037338
0.858929	0.032901
0.879082	0.028601
0.899235	0.024461
0.919388	0.020503
0.939541	0.016753
0.959694	0.013232
0.979847	0.009964
1.000000	0.006972
1.000000	-0.000862
0.980102	0.000892
0.960204	0.002453
0.940306	0.003828
0.920408	0.005027
0.900510	0.006057
0.880612	0.006927
0.860714	0.007646
0.840816	0.008221
0.820918	0.008662
0.801020	0.008976
0.781122	0.009172
0.761224	0.009258
0.741327	0.009243
0.721429	0.009135
0.701531	0.008942
0.681633	0.008673
0.661735	0.008336
0.641837	0.007939
0.621939	0.007492
0.602041	0.007001
0.582143	0.006476
0.562245	0.005925
0.542347	0.005357
0.522449	0.004779
0.502551	0.004200
0.482653	0.003628
0.462755	0.003073
0.442857	0.002541
0.422959	0.002042
0.403061	0.001584
0.383163	0.001175
0.363265	0.000824
0.343367	0.000539
0.323469	0.000328
0.303571	0.000200
0.283673	0.000163
0.263776	0.000226
0.243878	0.000396
0.223980	0.000683
0.204082	0.001094
0.184184	0.001638
0.164286	0.002324
0.144388	0.003159
0.124490	0.004152
0.104592	0.005312
0.084694	0.006647
0.064796	0.008165
0.044898	0.009874
0.000000	0.000000
